AREACD,AnualIncomeBeforeIncome,AnualIncomeAfterHousing
E02001091,33.108,31.478
E02001092,30.29,29.774
E02001093,30.505,26.444
E02001094,26.84,25.753
E02001095,28.914,27.618
E02001096,30.524,28.422
E02001097,28.16,28.361
E02006902,44.15,37.167
E02006912,30.224,39.98
E02006913,32.301,25.898
E02006914,31.208,27.219
E02006915,27.437,23.612
E02006916,39.694,31.747
E02006917,50.062,41.633
E02006983,32.507,32.123
E02006984,40.68,34.52
E02006985,23.072,20.137
E02006986,31.308,24.416
E02001098,31.81,30.624
E02001099,31.355,29.683
E02001100,33.837,30.814
E02001101,33.297,33.6
E02001102,34.155,32.36
E02001103,38.263,36.063
E02001104,33.974,30.728
E02001105,31.805,29.396
E02001106,31.858,31.23
E02001107,32.339,27.541
E02001108,29.793,27.21
E02001109,28.413,25.628
E02001110,38.791,37.122
E02001111,23.503,20.976
E02001112,33.52,35.468
E02001113,23.438,17.794
E02001114,28.876,27.773
E02001115,33.988,30.677
E02001116,25.231,22.833
E02001117,38.154,37.939
E02001118,35.847,35.671
E02001119,22.531,17.58
E02001121,23.205,19.104
E02001123,28.914,26.224
E02001124,26.713,24.134
E02001125,32.949,31.321
E02001126,27.284,24.224
E02001127,29.725,26.631
E02001128,31.252,29.391
E02001129,30.922,28.983
E02001130,32.419,33.39
E02001131,31.961,31.435
E02007000,24.993,20.525
E02007001,27.115,21.504
E02001132,32.894,32.076
E02001133,33.349,32.636
E02001134,34.08,35.383
E02001135,25.419,23.917
E02001136,31.672,29.204
E02001137,35.701,34.094
E02001138,37.065,33.864
E02001139,24.115,20.462
E02001140,29.699,26.431
E02001141,22.998,20.901
E02001142,37.741,35.705
E02001143,26.991,25.418
E02001144,31.35,29.281
E02001145,32.637,31.21
E02001146,24.051,20.102
E02001147,30.811,27.255
E02001148,30.038,27.634
E02001149,27.29,25.035
E02001150,29.933,27.995
E02001151,33.21,31.205
E02001152,30.805,28.822
E02001153,28.106,27.832
E02001154,31.044,29.311
E02001155,29.673,28.593
E02001156,35.702,34.771
E02001157,27.688,24.964
E02001158,28.364,25.818
E02001159,34.149,29.457
E02001160,29.541,29.944
E02001161,31.29,29.935
E02001162,29.95,30.426
E02001163,35.026,33.192
E02001164,32.843,30.031
E02001165,33.113,29.699
E02001166,30.247,24.748
E02001167,32.607,27.202
E02001168,33.015,32.048
E02001169,39.546,39.82
E02001170,37.996,40.518
E02001171,35.052,36.239
E02001173,26.44,26.926
E02001174,35.31,35.058
E02001175,32.372,31.137
E02001176,33.362,34.3
E02001177,32.438,29.047
E02001179,29.497,27.056
E02001180,23.439,21.232
E02001181,28.268,27.407
E02001182,28.269,27.604
E02001183,31.74,28.985
E02001185,31.548,29.42
E02001186,32.794,29.814
E02006957,26.161,21.149
E02006958,28.893,25.206
E02006959,48.114,35.356
E02006960,34.11,30.577
E02006961,33.408,29.574
E02006962,42.24,34.121
E02006963,67.816,31.49
E02001187,33.269,31.06
E02001188,33.026,28.552
E02001189,33.872,34.196
E02001190,26.051,25.066
E02001191,32.593,34.53
E02001192,42.02,39.124
E02001193,31.977,30.834
E02001194,43.289,38.488
E02001195,34.43,34.528
E02001196,34.69,34.936
E02001197,39.754,36.604
E02001198,33,29.424
E02001199,41.131,38.373
E02001200,26.812,23.522
E02001201,34.464,32.579
E02001202,34.304,29.112
E02001203,43.955,42.703
E02001204,35.137,34.295
E02001205,31.229,31.886
E02001206,39.555,37.264
E02001207,34.96,36.774
E02001208,36.237,34.96
E02001209,37.591,33.524
E02001210,31.482,30.044
E02001211,39.416,38.721
E02001212,30.635,28.616
E02001213,39.789,39.895
E02001214,36.701,37.196
E02001215,36.547,36.345
E02001216,39.438,38.025
E02001217,33.855,33.079
E02001218,40.218,42.053
E02001219,37.512,40.329
E02001220,38.037,36.858
E02001221,37.86,41.304
E02001222,36.918,38.673
E02001223,43.755,42.72
E02001224,35.599,40.347
E02001225,42.49,41.157
E02001226,36.352,35.945
E02001227,42.723,40.996
E02001228,43.926,43.854
E02001229,34.482,32.802
E02001230,32.358,31.851
E02001231,33.733,30.467
E02001232,30.99,28.147
E02001233,29.347,27.728
E02001234,29.407,26.981
E02001235,31.699,29.853
E02001236,29.178,27.554
E02001237,32.343,30.294
E02001238,31.239,30.679
E02001239,31.532,29.674
E02001240,32.164,29.681
E02001241,22.875,21.462
E02001242,35.168,36.042
E02001243,33.761,33.447
E02001244,33.176,33.286
E02001245,29.522,28.267
E02001246,29.542,29.094
E02001247,29.921,30.22
E02001248,29.988,28.168
E02001249,30.338,28.684
E02001250,35.404,34.041
E02001251,34.985,31.52
E02001252,33.96,33.965
E02001253,31.542,33.287
E02001254,30.447,29.787
E02001255,29.049,26.146
E02001256,28.359,25.934
E02001257,28.768,28.553
E02001258,34.288,35.743
E02001259,29.485,27.29
E02001260,35.979,38.195
E02001261,35.468,31.168
E02001262,32.912,30.926
E02001263,36.676,40.091
E02001264,36.415,33.023
E02001265,35.155,35.255
E02001266,32.928,32.106
E02001267,34.196,35.087
E02001268,37.024,41.895
E02001269,34.042,33.024
E02001270,38.437,37.499
E02001271,35.013,33.902
E02001272,38.574,43.522
E02001273,41.209,40.536
E02001274,39.891,41.189
E02001275,31.508,28.189
E02001276,36.78,33.367
E02001277,34.104,31.469
E02001278,39.996,42.449
E02001279,42.485,44.311
E02001280,35.483,33.54
E02001281,38.772,42.671
E02001282,39.692,37.705
E02001283,43.201,37.683
E02001284,49.524,41.388
E02001285,47.532,42.653
E02001286,46.027,43.245
E02001287,37.314,36.116
E02001288,36.945,35.574
E02001289,35.112,33.046
E02001290,33.899,32.724
E02001291,30.564,27.566
E02001292,34.52,34.784
E02001293,32.155,33.158
E02001294,32.065,31.912
E02001295,24.39,23.339
E02001296,25.616,23.588
E02001297,28.101,27.796
E02001298,27.899,25.156
E02001299,30.432,30.484
E02001300,30.084,29.101
E02001301,29.586,26.742
